poids(preliminary,1) = 3.204662511748219
poids(rules,3157) = 1.2099522130889218
poids(secure,3158) = 2.7350683469468375
poids(personal,3158) = 2.9357550107228247
poids(computing,3158) = 1.989668805561508
poids(insecure,3158) = 2.068220837249406
poids(network,3158) = 2.815496427383686
poids(method,3158) = 1.6097519335904673
poids(implementing,3158) = 1.7210899421966646
poids(one,3158) = 1.3418951881516832
poids(central,3158) = 3.090719159441382
poids(facilities,3158) = 1.6309695502308215
poids(proposed,3158) = 1.4511347210097145
poids(employs,3158) = 1.7972497183684544
poids(public,3158) = 1.8088370871215251
poids(key,3158) = 1.6051654757945621
poids(encryption,3158) = 1.9678775053614124
poids(device,3158) = 1.6668475096974313
poids(hardware,3158) = 1.562049523956777
poids(keys,3158) = 1.7584145286779753
poids(user,3158) = 1.9658584373838182
poids(responsible,3158) = 2.068220837249406
poids(security,3158) = 2.53438168317085
poids(need,3158) = 1.5598725682371244
poids(rely,3158) = 1.9355741676920604
poids(facility,3158) = 2.372356317379987
poids(communication,3158) = 1.6274810723381
poids(links,3158) = 1.886864822465981
poids(safely,3158) = 2.0095237508975123
poids(store,3158) = 1.6458302611150684
poids(confidential,3158) = 3.0190475017950247
poids(files,3158) = 1.6111982164921608
poids(transmit,3158) = 1.8675341734734188
poids(data,3158) = 1.3136754810533702
poids(users,3158) = 1.568783985986206
poids(remark,3159) = 3.6026025204202563
poids(stably,3159) = 3.9036325160842376
poids(updating,3159) = 3.359564471733962
poids(mean,3159) = 3.1077524987401626
poids(standard,3159) = 2.426511261364575
poids(deviation,3159) = 3.660594467397943
poids(estimates,3159) = 3.143964671394607
poids(rejuvenating,3160) = 1.5842820845687
poids(experimental,3160) = 1.8749088258698543
poids(computer,3160) = 1.486478784188554
poids(science,3160) = 2.1987482208761757
poids(report,3160) = 2.699512533428313
poids(based,3160) = 1.206812447400444
poids(results,3160) = 1.195206459376878
poids(nsf,3160) = 2.068220837249406
poids(sponsored,3160) = 1.5047618754487562
poids(workshop,3160) = 2.7528462537061
poids(held,3160) = 1.4252416663288126
poids(wasington,3160) = 1.5842820845687
poids(c,3160) = 1.3484531932402302
poids(november,3160) = 1.4839387526807062
poids(2,3160) = 1.235964565995467
poids(1978,3160) = 1.5047618754487562
poids(co,3160) = 1.534110418624703
poids(authors,3160) = 2.0917366063391407
poids(gordon,3160) = 1.5842820845687
poids(bell,3160) = 1.9091804190095187
poids(digital,3160) = 1.2509487512353665
poids(equipment,3160) = 1.3605449710983324
poids(corporation,3160) = 1.850483332657625
poids(bernard,3160) = 1.534110418624703
poids(galler,3160) = 1.534110418624703
poids(university,3160) = 1.6240746839442044
poids(michigan,3160) = 1.4545902095047594
poids(patricia,3160) = 1.5842820845687
poids(goldberg,3160) = 1.5842820845687
poids(ibm,3160) = 1.2546614836872254
poids(john,3160) = 1.534110418624703
poids(hamblen,3160) = 1.5842820845687
poids(missouri,3160) = 1.534110418624703
poids(rolla,3160) = 1.5842820845687
poids(elliot,3160) = 1.534110418624703
poids(pinson,3160) = 1.5842820845687
poids(telephone,3160) = 1.4107166370423292
poids(laboratories,3160) = 1.4839387526807062
poids(ivan,3160) = 1.5842820845687
poids(sutherland,3160) = 1.5842820845687
poids(california,3160) = 1.4434324112329904
poids(institute,3160) = 1.4545902095047594
poids(technology,3160) = 1.3457214572088687
poids(also,3160) = 1.1900340870868833
poids(participating,3160) = 1.5047618754487562
poids(representatives,3160) = 1.5842820845687
poids(government,3160) = 1.8214332740846584
poids(agencies,3160) = 1.4839387526807062
poids(addition,3160) = 1.2891400826283426
poids(number,3160) = 1.5071654067889637
poids(people,3160) = 1.7972497183684544
poids(contributed,3160) = 1.5047618754487562
poids(contents,3160) = 1.4107166370423292
poids(preparation,3160) = 1.7584145286779753
poids(original,3160) = 1.3290355983949909
poids(doctorate,3160) = 1.5842820845687
poids(granting,3160) = 1.534110418624703
poids(departments,3160) = 1.9678775053614124
poids(nation,3160) = 1.534110418624703
poids(asked,3160) = 1.534110418624703
poids(comments,3160) = 1.3334237548487158
poids(suggestions,3160) = 1.3932607452889936
poids(problems,3160) = 1.19289794072734
poids(version,3160) = 1.6668475096974313
poids(current,3160) = 1.3055991082460805
poids(dated,3160) = 1.534110418624703
poids(january,3160) = 1.4839387526807062
poids(15,3160) = 1.3932607452889936
poids(circulated,3160) = 1.5842820845687
poids(industrial,3160) = 1.4434324112329904
poids(groups,3160) = 1.3711564844098951
poids(criticism,3160) = 1.534110418624703
poids(editors,3160) = 1.534110418624703
poids(final,3160) = 1.3484531932402302
poids(gratefully,3160) = 1.5842820845687
poids(acknowledge,3160) = 1.5842820845687
poids(contribution,3160) = 1.4434324112329904
poids(large,3160) = 1.210442409787651
poids(stages,3160) = 1.4252416663288126
poids(note,3160) = 1.2689329841202865
poids(following,3160) = 1.335721802262988
poids(presentation,3160) = 1.3882668747260865
poids(position,3160) = 1.3835954207927124
poids(paper,3160) = 1.1445338750762604
poids(crisis,3160) = 1.534110418624703
poids(written,3160) = 1.2698669637066198
poids(acm,3160) = 1.3191046500642836
poids(executive,3160) = 1.4176154179020333
poids(committee,3160) = 1.3639122021130468
poids(acm,3161) = 2.914627900385701
poids(executive,3161) = 3.5056925074122
poids(committee,3161) = 3.183473212678281
poids(position,3161) = 3.301572524756275
poids(crisis,3161) = 4.204662511748219
poids(experimental,3161) = 2.7498176517397086
poids(computer,3161) = 1.729718176282831
poids(science,3161) = 2.798122331314264
poids(improving,3162) = 2.137621793016963
poids(worst,3162) = 3.464299822253975
poids(case,3162) = 2.5814132213503185
poids(running,3162) = 3.125481265700594
poids(time,3162) = 1.9224937334435772
poids(boyer,3162) = 4.5056925074122
poids(moore,3162) = 3.9036325160842376
poids(string,3162) = 2.8824432170142997
poids(matching,3162) = 3.250420002308894
poids(algorithm,3162) = 1.4286881806188498
poids(shown,3162) = 1.6067182180278619
poids(modify,3162) = 2.3302972336989716
poids(linear,3162) = 1.6992412688821659
poids(even,3162) = 1.9214673378653129
poids(multiple,3162) = 1.856650408956973
poids(occurrences,3162) = 2.2528462537061
poids(pattern,3162) = 1.962954455397695
poids(present,3162) = 1.8067989523608599
poids(text,3162) = 1.8948445818887003
poids(optimal,3163) = 1.5454869292270745
poids(insertion,3163) = 2.9179771039635627
poids(algorithm,3163) = 1.214344090309425
poids(one,3163) = 1.3418951881516832
poids(sided,3163) = 1.8675341734734188
poids(height,3163) = 1.886864822465981
poids(balanced,3163) = 1.7865214905779871
poids(binary,3163) = 1.5514780528977083
poids(search,3163) = 1.5397339274132393
poids(trees,3163) = 2.914627900385701
poids(inserting,3163) = 1.534110418624703
poids(element,3163) = 1.3605449710983324
poids(oshb,3163) = 2.7528462537061
poids(tree,3163) = 1.5494533369936438
poids(presented,3163) = 1.1541279219560967
poids(operates,3163) = 1.3882668747260865
poids(time,3163) = 1.7687447778696477
poids(log,3163) = 2.442179884393329
poids(n,3163) = 1.9368813081964247
poids(number,3163) = 1.1690551355963212
poids(nodes,3163) = 1.340549084918874
poids(represents,3163) = 1.4044185435607626
poids(improvement,3163) = 1.340549084918874
poids(best,3163) = 1.299687055219044
poids(previous,3163) = 1.3209848184658983
poids(ly,3163) = 1.5842820845687
poids(known,3163) = 1.2680109026869597
poids(algorithms,3163) = 1.6169254504378505
poids(hirschberg,3163) = 1.5047618754487562
poids(kosaraju,3163) = 1.5842820845687
poids(require,3163) = 1.3103733051543354
poids(2n,3163) = 1.4545902095047594
poids(moreover,3163) = 1.4044185435607626
poids(complexity,3163) = 1.6274810723381
poids(earlier,3163) = 1.3674437519580365
poids(results,3163) = 1.195206459376878
poids(shown,3163) = 1.2022394060092874
poids(deletion,3163) = 2.670461671608133
poids(structure,3163) = 1.2147014271997156
poids(also,3163) = 1.1900340870868833
poids(performed,3163) = 1.6309695502308215
poids(thus,3163) = 1.299687055219044
poids(result,3163) = 1.2916362752899513
poids(paper,3163) = 1.1445338750762604
poids(gives,3163) = 1.3512920831233604
poids(negative,3163) = 1.4434324112329904
poids(answer,3163) = 1.4107166370423292
poids(question,3163) = 1.3334237548487158
poids(whether,3163) = 1.3172720860140394
poids(first,3163) = 1.229226456486199
poids(examples,3163) = 1.2440499703756625
poids(kind,3163) = 1.3457214572088687
poids(smaller,3163) = 1.3986248591842272
poids(furthermore,3163) = 1.4176154179020333
poids(concluded,3163) = 1.4044185435607626
poids(retrieval,3163) = 1.2708131525219013
poids(corresponding,3163) = 1.6497966688816375
poids(operations,3163) = 1.2395844409443397
poids(general,3163) = 1.1912929434019577
poids(avl,3163) = 1.886864822465981
poids(within,3163) = 1.2610288757989303
poids(constant,3163) = 1.3430890793449968
poids(factor,3163) = 1.3484531932402302
poids(however,3163) = 1.2832520889047188
poids(appear,3163) = 1.3932607452889936
poids(much,3163) = 1.2891400826283426
poids(complicated,3163) = 1.3835954207927124
poids(progressive,3164) = 3.3371283382748
poids(acyclic,3164) = 4.5056925074122
poids(digraphs,3164) = 2.1685641691374
poids(tool,3164) = 1.7584145286779753
poids(database,3164) = 2.5730429811559743
poids(integrity,3164) = 2.0095237508975123
poids(digraph,3164) = 2.1685641691374
poids(pad,3164) = 3.3371283382748
poids(algorithm,3164) = 1.1428960602062832
poids(accepts,3164) = 1.8352308358040665
poids(requests,3164) = 1.7146548904648689
poids(maintains,3164) = 2.068220837249406
poids(graph,3164) = 1.6143115585768752
poids(state,3164) = 1.6207466103086707
poids(request,3164) = 1.7501400007696313
poids(creates,3164) = 1.9091804190095187
poids(cycle,3164) = 1.7972497183684544
poids(nodes,3164) = 3.043294509513244
poids(detached,3164) = 2.1685641691374
poids(new,3164) = 1.3904129187537564
poids(entered,3164) = 1.886864822465981
poids(acyclically,3164) = 2.1685641691374
poids(process,3164) = 1.4695941648013813
poids(important,3164) = 1.537865968240573
poids(certain,3164) = 1.453188157244654
poids(areas,3164) = 1.676190417564179
poids(implementation,3164) = 1.4451435973390807
poids(constraints,3164) = 1.6497966688816375
poids(permissible,3164) = 2.0095237508975123
poids(sequences,3164) = 1.7210899421966646
poids(actions,3164) = 1.7278244042260935
poids(two,3164) = 1.35232872916904
poids(algorithms,3164) = 1.4112836336252337
poids(presented,3164) = 1.3082558439121934
poids(one,3164) = 1.3418951881516832
poids(uses,3164) = 2.094913098194496
poids(simple,3164) = 1.4356784734859258
poids(path,3164) = 1.6810981698377478
poids(matrix,3164) = 1.4542259023860349
poids(representation,3164) = 1.537865968240573
poids(list,3164) = 1.5093229673744508
poids(artificial,3164) = 1.7865214905779871
poids(gradient,3164) = 1.9678775053614124
poids(experiments,3164) = 1.5993741104380879
poids(suggest,3164) = 1.8214332740846584
poids(large,3164) = 1.4208848195753019
poids(n,3164) = 1.9368813081964247
poids(second,3164) = 1.5454869292270745
poids(considerably,3164) = 1.8088370871215251
poids(faster,3164) = 1.7210899421966646
poids(though,3164) = 1.7584145286779753
poids(asymptotically,3164) = 1.8675341734734188
poids(nr,3164) = 2.1685641691374
poids(number,3164) = 1.676220542385285
poids(r,3164) = 1.7146548904648689
poids(expected,3164) = 1.6419696369317967
poids(reachable,3164) = 2.0095237508975123
poids(along,3164) = 1.7025841662467207
poids(paths,3164) = 1.8088370871215251
poids(given,3164) = 1.3168660196112936
poids(node,3164) = 1.7423129688197903
poids(approximation,3165) = 1.9573139501928505
poids(polygonal,3165) = 2.363770628514278
poids(maps,3165) = 3.4265112613645754
poids(cellular,3165) = 2.0095237508975123
poids(thematic,3165) = 1.5842820845687
poids(important,3165) = 1.2689329841202865
poids(operation,3165) = 1.2757390264488542
poids(geographical,3165) = 1.5842820845687
poids(data,3165) = 1.4705132215800554
poids(processing,3165) = 1.1996994115831645
poids(analyzed,3165) = 1.2969027729685685
poids(organization,3165) = 1.8430742859351656
poids(used,3165) = 1.3277494246352934
poids(representing,3165) = 1.3639122021130468
poids(widely,3165) = 1.4044185435607626
poids(segment,3165) = 2.1648006241782594
poids(based,3165) = 1.206812447400444
poids(structure,3165) = 1.2147014271997156
poids(class,3165) = 1.2708131525219013
poids(labels,3165) = 1.4434324112329904
poids(identify,3165) = 1.4107166370423292
poids(regions,3165) = 1.3835954207927124
poids(bordering,3165) = 1.5842820845687
poids(either,3165) = 1.3011204171793636
poids(side,3165) = 1.4337670867367094
poids(algorithm,3165) = 1.1428960602062832
poids(presented,3165) = 1.1541279219560967
poids(operates,3165) = 1.3882668747260865
poids(eliminating,3165) = 1.4545902095047594
poids(need,3165) = 1.2799362841185622
poids(recognition,3165) = 1.340549084918874
poids(region,3165) = 1.4176154179020333
poids(boundaries,3165) = 1.4337670867367094
poids(examined,3165) = 1.3025827378972812
poids(versatility,3165) = 1.534110418624703
poids(new,3165) = 1.195206459376878
poids(illustrated,3165) = 1.31374053616905
poids(outline,3165) = 1.4107166370423292
poids(algorithms,3165) = 1.2056418168126168
poids(area,3165) = 1.3154847751154106
poids(computation,3165) = 1.24210234398813
poids(point,3165) = 1.2516762188024417
poids(inclusion,3165) = 1.4107166370423292
poids(applied,3165) = 1.2509487512353665
poids(set,3165) = 1.1948721289272783
poids(soil,3165) = 1.5842820845687
poids(converted,3165) = 1.4434324112329904
poids(computer,3165) = 1.1216196960471385
poids(readable,3165) = 1.4545902095047594
poids(form,3165) = 1.2395844409443397
poids(means,3165) = 1.2585749996621458
poids(coordinate,3165) = 1.4252416663288126
poids(digitizer,3165) = 1.5842820845687
poids(computing,3166) = 1.247417201390377
poids(standard,3166) = 1.4755037537881917
poids(deviations,3166) = 1.534110418624703
poids(accuracy,3166) = 1.6345441720280791
poids(four,3166) = 1.899061165657132
poids(algorithms,3166) = 2.233850900875701
poids(numerical,3166) = 1.2488092137845046
poids(computation,3166) = 1.48420468797626
poids(deviation,3166) = 1.4434324112329904
poids(unweighted,3166) = 1.5842820845687
poids(sampled,3166) = 1.46778708384603
poids(data,3166) = 1.1568377405266852
poids(analyzed,3166) = 1.593805545937137
poids(two,3166) = 1.70465745833808
poids(well,3166) = 1.2377518768940958
poids(known,3166) = 1.2680109026869597
poids(statistical,3166) = 1.3154847751154106
poids(computational,3166) = 1.3040752116727687
poids(literature,3166) = 1.3542468776167658
poids(new,3166) = 1.3904129187537564
poids(specifically,3166) = 1.3711564844098951
poids(intended,3166) = 1.3542468776167658
poids(automatic,3166) = 1.2440499703756625
poids(discussion,3166) = 1.3055991082460805
poids(expository,3166) = 1.5047618754487562
poids(emphasis,3166) = 1.3269374105103207
poids(reaching,3166) = 1.534110418624703
poids(suitable,3166) = 1.3120373419721023
poids(definition,3166) = 1.3040752116727687
poids(conditions,3166) = 1.2757390264488542
poids(accurate,3166) = 2.1134694532296856
poids(conclude,3166) = 1.4839387526807062
poids(provide,3166) = 1.2689329841202865
poids(answers,3166) = 1.4337670867367094
poids(many,3166) = 1.2225717986695404
poids(problems,3166) = 1.3857958814546798
poids(one,3166) = 1.3418951881516832
poids(old,3166) = 1.4337670867367094
poids(substantially,3166) = 1.4044185435607626
poids(difficult,3166) = 1.3311964279223854
poids(updating,3167) = 2.7696733538004716
poids(mean,3167) = 2.0538762493700813
poids(variance,3167) = 2.081634913294997
poids(estimates,3167) = 1.5359911678486518
poids(improved,3167) = 1.9687453916726025
poids(method,3167) = 1.914627900385701
poids(efficiency,3167) = 1.4199044261778435
poids(given,3167) = 1.2376495147084703
poids(weighted,3167) = 1.606627815341144
poids(sampled,3167) = 1.7016806257690453
poids(data,3167) = 1.4705132215800554
poids(additional,3167) = 1.443324686897308
poids(value,3167) = 1.421537142967583
poids(included,3167) = 1.4265879894896547
poids(set,3167) = 1.2923081933909177
poids(evidence,3167) = 1.5567347266148428
poids(presented,3167) = 1.2311918829341453
poids(stable,3167) = 1.5979372887763408
poids(least,3167) = 1.4248781333570784
poids(accurate,3167) = 1.5567347266148428
poids(best,3167) = 1.449530582828566
poids(existing,3167) = 1.4655599577315033
poids(comment,3168) = 3.125481265700594
poids(optimal,3168) = 2.636460787681224
poids(evaluation,3168) = 2.5814132213503185
poids(boolean,3168) = 3.0143308135779274
poids(expressions,3168) = 2.6544341586931246
poids(online,3168) = 3.226938906459371
poids(query,3168) = 3.183473212678281
poids(system,3168) = 1.8015419905724008
poids(note,3169) = 2.6135979047217197
poids(optimal,3169) = 2.636460787681224
poids(evaluation,3169) = 2.5814132213503185
poids(boolean,3169) = 3.0143308135779274
poids(expressions,3169) = 2.6544341586931246
poids(online,3169) = 3.226938906459371
poids(query,3169) = 3.183473212678281
poids(system,3169) = 1.8015419905724008
poids(proof,3170) = 2.276418600257134
poids(correctness,3170) = 3.090719159441382
poids(calendar,3170) = 2.8183608380190375
poids(program,3170) = 1.9270532974441277
poids(formal,3170) = 1.585834826802
poids(specification,3170) = 2.2414932206173415
poids(given,3170) = 1.3168660196112936
poids(simple,3170) = 1.4356784734859258
poids(derivation,3170) = 1.767190841585425
poids(sketched,3170) = 2.0095237508975123
poids(easy,3170) = 1.6309695502308215
poids(understand,3170) = 1.850483332657625
poids(manifest,3170) = 2.1685641691374
poids(humans,3170) = 1.9678775053614124
poids(line,3171) = 2.6248789151314087
poids(numbers,3171) = 1.8497562667141565
poids(made,3171) = 1.6958745775526816
poids(cheap,3171) = 2.7528462537061
poids(technique,3171) = 1.6134694532296856
poids(described,3171) = 1.4523598058627258
poids(run,3171) = 1.9412216085071499
poids(time,3171) = 1.9224937334435772
poids(number,3171) = 1.5071654067889637
poids(administration,3171) = 2.2528462537061
poids(used,3171) = 1.49162413695294
poids(implementations,3171) = 2.179782235866981
poids(high,3171) = 1.7986037442667753
poids(level,3171) = 1.7550286564073252
poids(languages,3171) = 1.6958745775526816
poids(suitable,3171) = 1.9361120259163067
poids(circumstances,3171) = 2.275724998986438
poids(method,3171) = 1.4573139501928505
poids(requires,3171) = 1.8531759789793092
poids(absolutely,3171) = 2.6023312558741094
poids(overhead,3171) = 2.1958745775526816
poids(either,3171) = 1.9033612515380907
poids(space,3171) = 1.7709523400333222
poids(execution,3171) = 1.821184823645872
poids(program,3171) = 1.463526648722064
poids(algorithm,3172) = 1.4286881806188498
poids(planning,3172) = 2.5168290573559506
poids(collision,3172) = 3.1364416744988124
poids(free,3172) = 2.133008355618875
poids(paths,3172) = 1.8088370871215251
poids(among,3172) = 2.2223964329843215
poids(polyhedral,3172) = 4.5056925074122
poids(obstacles,3172) = 4.204662511748219
poids(paper,3172) = 1.2890677501525207
poids(describes,3172) = 1.5155503716970355
poids(avoidance,3172) = 1.9678775053614124
poids(safe,3172) = 1.9355741676920604
poids(path,3172) = 1.6810981698377478
poids(object,3172) = 2.2103309515891243
poids(moving,3172) = 2.70096666531525
poids(known,3172) = 1.5360218053739194
poids(objects,3172) = 1.638209300128567
poids(transforms,3172) = 1.850483332657625
poids(represent,3172) = 1.7423129688197903
poids(locus,3172) = 2.068220837249406
poids(forbidden,3172) = 3.3371283382748
poids(positions,3172) = 1.850483332657625
poids(arbitrary,3172) = 1.602240834358727
poids(reference,3172) = 2.2414932206173415
poids(point,3172) = 2.006704875209767
poids(trajectory,3172) = 2.068220837249406
poids(avoids,3172) = 1.8352308358040665
poids(regions,3172) = 1.767190841585425
poids(collisions,3172) = 1.9678775053614124
poids(trajectories,3172) = 2.0095237508975123
poids(found,3172) = 1.5665041778094375
poids(searching,3172) = 1.6538748210206413
poids(network,3172) = 1.6051654757945621
poids(indicates,3172) = 1.8088370871215251
poids(vertex,3172) = 2.0095237508975123
poids(transformed,3172) = 1.8675341734734188
poids(vertices,3172) = 1.8352308358040665
poids(reached,3172) = 1.9355741676920604
poids(safely,3172) = 2.0095237508975123
poids(psychology,3173) = 2.7528462537061
poids(learning,3173) = 3.5056925074122
poids(basic,3173) = 2.5013711336295574
poids(paper,3173) = 1.4336016252287813
poids(addresses,3173) = 2.232149911126988
poids(question,3173) = 2.0002712645461473
poids(person,3173) = 2.363770628514278
poids(know,3173) = 2.2528462537061
poids(following,3173) = 2.007165406788964
poids(programming,3173) = 1.4871067951849724
poids(several,3173) = 2.293504903008242
poids(underlying,3173) = 2.1252100011544472
poids(conceptual,3173) = 2.213255630682288
poids(structures,3173) = 1.7381543648634952
poids(identified,3173) = 2.0371643716266066
poids(1,3173) = 1.6677153960086213
poids(transaction,3173) = 2.275724998986438
poids(event,3173) = 2.0371643716266066
poids(occurs,3173) = 2.2528462537061
poids(computer,3173) = 1.3648590881414155
poids(involves,3173) = 2.0627406328502973
poids(operation,3173) = 1.8272170793465623
poids(object,3173) = 1.907748213691843
poids(location,3173) = 2.0719823356973035
poids(2,3173) = 1.707893697986401
poids(prestatement,3173) = 2.7528462537061
poids(set,3173) = 1.5846163867818353
poids(transactions,3173) = 2.3302972336989716
poids(corresponding,3173) = 2.949390006644913
poids(line,3173) = 1.8124394575657043
poids(code,3173) = 2.5325646538125013
poids(3,3173) = 1.81531562201025
poids(chunks,3173) = 2.7528462537061
poids(frequently,3173) = 2.0142856263462687
poids(occurring,3173) = 2.3302972336989716
poids(configurations,3173) = 2.1958745775526816
poids(prestatements,3173) = 2.7528462537061
poids(lines,3173) = 2.007165406788964
poids(password,3174) = 3.1364416744988124
poids(security,3174) = 3.301572524756275
poids(case,3174) = 1.527137740450106
poids(history,3174) = 2.469775007832146
poids(paper,3174) = 1.2890677501525207
poids(describes,3174) = 1.5155503716970355
poids(design,3174) = 1.8535888171242247
poids(scheme,3174) = 1.5416263050438028
poids(remotely,3174) = 1.9678775053614124
poids(accessed,3174) = 1.850483332657625
poids(time,3174) = 1.307497911147859
poids(sharing,3174) = 1.5665041778094375
poids(system,3174) = 1.5343613270482672
poids(present,3174) = 1.537865968240573
poids(result,3174) = 2.1665451011598056
poids(countering,3174) = 2.1685641691374
poids(observed,3174) = 1.8214332740846584
poids(attempts,3174) = 1.8214332740846584
poids(penetrate,3174) = 2.068220837249406
poids(compromise,3174) = 1.886864822465981
poids(extreme,3174) = 2.068220837249406
poids(ease,3174) = 1.7210899421966646
poids(use,3174) = 1.320541487687308
poids(breaking,3175) = 4.5056925074122
poids(substitution,3175) = 3.5514499979728753
poids(ciphers,3175) = 3.9036325160842376
poids(using,3175) = 1.7098556168979882
poids(relaxation,3175) = 1.9091804190095187
poids(algorithm,3175) = 1.1428960602062832
poids(codes,3175) = 1.6861781586899935
poids(letter,3175) = 3.727541257028556
poids(alphabet,3175) = 2.0095237508975123
poids(one,3175) = 1.3418951881516832
poids(fixed,3175) = 1.593805545937137
poids(substitute,3175) = 2.068220837249406
poids(word,3175) = 1.6143115585768752
poids(divisions,3175) = 2.1685641691374
poids(change,3175) = 1.7423129688197903
poids(paper,3175) = 1.2890677501525207
poids(problem,3175) = 1.6935397706425213
poids(represented,3175) = 1.6419696369317967
poids(probabilistic,3175) = 1.886864822465981
poids(labeling,3175) = 1.9678775053614124
poids(every,3175) = 1.7025841662467207
poids(code,3175) = 2.021709769208334
poids(assigned,3175) = 1.7865214905779871
poids(probabilities,3175) = 3.275243586033926
poids(representing,3175) = 1.7278244042260935
poids(plain,3175) = 2.068220837249406
poids(text,3175) = 1.596563054592467
poids(letters,3175) = 2.8183608380190375
poids(updated,3175) = 1.9678775053614124
poids(parallel,3175) = 1.571100272637982
poids(joint,3175) = 1.9091804190095187
poids(iterating,3175) = 1.9678775053614124
poids(updating,3175) = 1.7865214905779871
poids(scheme,3175) = 1.5416263050438028
poids(results,3175) = 1.3904129187537564
poids(improved,3175) = 1.6458302611150684
poids(estimates,3175) = 1.7146548904648689
poids(finally,3175) = 1.6081504233455375
poids(lead,3175) = 1.7501400007696313
poids(cipher,3175) = 1.9678775053614124
poids(method,3175) = 1.3048759667952337
poids(applies,3175) = 1.8352308358040665
poids(successfully,3175) = 1.7584145286779753
poids(two,3175) = 1.35232872916904
poids(examples,3175) = 1.488099940751325
poids(storing,3176) = 3.301572524756275
poids(sparse,3176) = 2.213255630682288
poids(table,3176) = 1.8430742859351656
poids(problem,3176) = 1.2600774139909454
poids(searching,3176) = 1.490406115765481
poids(large,3176) = 1.3156636146814764
poids(tables,3176) = 2.2849756134354595
poids(ubiquitous,3176) = 1.87642312685305
poids(computer,3176) = 1.1824295440707078
poids(science,3176) = 1.449530582828566
poids(standard,3176) = 1.3566278153411437
poids(technique,3176) = 1.3067347266148428
poids(hashing,3176) = 2.2528462537061
poids(poor,3176) = 1.7259081290210594
poids(worst,3176) = 2.232149911126988
poids(case,3176) = 1.7907066106751592
poids(performance,3176) = 1.3786166079299262
poids(propose,3176) = 1.7016806257690453
poids(good,3176) = 1.5108236273783109
poids(method,3176) = 1.6859709252892756
poids(static,3176) = 1.5979372887763408
poids(n,3176) = 2.405321962294637
poids(entries,3176) = 1.62642312685305
poids(integer,3176) = 1.4873475016612283
poids(0,3176) = 2.0917366063391407
poids(1,3176) = 1.3338576980043106
poids(requires,3176) = 1.4265879894896547
poids(w,3176) = 1.616074955563494
poids(words,3176) = 1.4655599577315033
poids(storage,3176) = 1.2974305404888207
poids(allows,3176) = 1.4136085396732812
poids(logn,3176) = 1.7259081290210594
poids(access,3176) = 1.4265879894896547
poids(time,3176) = 1.2306234333608943
poids(although,3176) = 1.441332454479489
poids(little,3176) = 1.5185821858133033
poids(complicated,3176) = 1.5753931311890688
poids(use,3176) = 1.240406115765481
poids(practice,3176) = 1.616074955563494
poids(analysis,3176) = 1.3011656279370547
poids(shows,3176) = 1.503582703394482
poids(simpler,3176) = 1.616074955563494
poids(algorithm,3176) = 1.1071720451547125
poids(used,3176) = 1.24581206847647
poids(compressing,3176) = 1.7571428131731344
poids(lr,3176) = 1.650650630105064
poids(parsing,3176) = 1.5108236273783109
poids(works,3176) = 1.7259081290210594
poids(well,3176) = 1.3566278153411437
poids(share,3177) = 1.4719128943467923
poids(secret,3177) = 1.5613445006152364
poids(paper,3177) = 1.1734406500915124
poids(show,3177) = 1.3829255800771403
poids(divide,3177) = 1.5455082514057112
poids(data,3177) = 1.1882052886320222
poids(n,3177) = 1.2810643924589273
poids(pieces,3177) = 3.8067225030761813
poids(way,3177) = 1.3284739294583487
poids(easily,3177) = 1.3704959987273713
poids(reconstructable,3177) = 1.640932502349644
poids(k,3177) = 1.8297314973012853
poids(even,3177) = 1.7371738702922506
poids(complete,3177) = 1.3455082514057113
poids(knowledge,3177) = 1.4409325023496438
poids(1,3177) = 1.2670861584034485
poids(reveals,3177) = 1.5807265032168476
poids(olutely,3177) = 1.70113850148244
poids(information,3177) = 1.2280409045042602
poids(technique,3177) = 1.2453877812918743
poids(enables,3177) = 1.4500840004617788
poids(construction,3177) = 1.3515008960812
poids(robust,3177) = 1.640932502349644
poids(key,3177) = 1.3630992854767374
poids(management,3177) = 1.3648902540073227
poids(schemes,3177) = 1.4326539653179988
poids(cryptographic,3177) = 1.5807265032168476
poids(systems,3177) = 1.2006530774855535
poids(function,3177) = 1.2435781554963947
poids(securely,3177) = 1.640932502349644
poids(reliably,3177) = 1.70113850148244
poids(misfortunes,3177) = 1.70113850148244
poids(destroy,3177) = 1.70113850148244
poids(half,3177) = 1.4117068952139962
poids(security,3177) = 1.460314504951255
poids(breaches,3177) = 1.70113850148244
poids(expose,3177) = 1.640932502349644
poids(one,3177) = 1.20513711289101
poids(remaining,3177) = 1.5321188934795886
poids(introduction,3178) = 3.125481265700594
poids(eft,3178) = 3.660594467397943
poids(symposium,3178) = 3.8067225030761813
poids(overview,3179) = 1.9355741676920604
poids(eft,3179) = 3.660594467397943
poids(symposium,3179) = 2.8711483353841207
poids(increasingly,3179) = 1.886864822465981
poids(recognized,3179) = 1.850483332657625
poids(large,3179) = 1.4208848195753019
poids(scale,3179) = 1.6497966688816375
poids(technologies,3179) = 3.0190475017950247
poids(potential,3179) = 1.7146548904648689
poids(aiding,3179) = 2.1685641691374
poids(solution,3179) = 1.428528139790715
poids(current,3179) = 1.6111982164921608
poids(societal,3179) = 2.1685641691374
poids(problems,3179) = 1.7715917629093596
